depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
8.400000 48.852388 49.869521 50.938768 50.940519 52.031685 53.119485
8.500000 49.281869 50.265025 51.400814 51.358044 52.461533 53.476263
8.600000 49.704086 50.657270 51.811789 51.771368 52.872195 53.901236
8.700000 50.097624 51.077119 52.244166 52.196115 53.254556 54.280052
8.800000 50.621138 51.505012 52.664981 52.623606 53.698849 54.622734
8.900000 51.020366 51.963622 53.074754 53.041210 54.079080 55.163578
9.000000 51.465959 52.356072 53.472222 53.458009 54.504628 55.533983
9.100000 51.870724 52.835330 53.896933 53.885485 54.897054 55.935215
9.200000 52.282398 53.276744 54.314954 54.322437 55.355494 56.349972
9.300000 52.834415 53.692417 54.745969 54.760596 55.801707 56.731046
9.400000 53.299232 54.175536 55.178979 55.202255 56.213840 57.113987
9.500000 53.799891 54.675282 55.629533 55.648543 56.611616 57.528001
9.550000 54.073249 54.919754 55.918174 55.911143 56.870118 57.790515
