depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
2.620000 10.694451 11.133226 11.352376 11.296932 11.470851 11.653546
2.640000 10.727676 11.169508 11.383603 11.331374 11.507359 11.711144
2.660000 10.749574 11.204643 11.420907 11.366836 11.537265 11.747075
2.680000 10.785892 11.243382 11.455828 11.402538 11.571361 11.789718
2.700000 10.833209 11.277896 11.486622 11.437211 11.605125 11.816472
2.720000 10.850740 11.316759 11.522881 11.472805 11.637323 11.852421
2.740000 10.892350 11.357354 11.559715 11.509628 11.672328 11.899673
2.760000 10.921637 11.407647 11.592709 11.546745 11.706045 11.936915
2.780000 10.953118 11.446649 11.626425 11.583270 11.740660 11.958204
2.800000 10.986437 11.484877 11.659033 11.618617 11.775957 12.001936
2.820000 11.027308 11.525655 11.695922 11.654471 11.807416 12.028314
2.840000 11.059213 11.572484 11.730872 11.690137 11.841375 12.062249
2.860000 11.095887 11.607512 11.763566 11.724656 11.876069 12.097656
2.880000 11.126373 11.640895 11.795586 11.759382 11.912380 12.127924
2.900000 11.160295 11.676420 11.832446 11.793777 11.939988 12.165331
2.920000 11.198501 11.714230 11.868722 11.828716 11.975551 12.199588
2.940000 11.233033 11.750747 11.903397 11.863208 12.010038 12.234994
2.960000 11.277731 11.785761 11.935792 11.898747 12.044324 12.266419
2.980000 11.309219 11.818492 11.972868 11.933923 12.077552 12.294494
3.000000 11.360286 11.856781 12.003235 11.969391 12.109446 12.330775
3.020000 11.395531 11.894751 12.038938 12.005856 12.145483 12.355775
3.040000 11.445242 11.931792 12.068725 12.041243 12.178306 12.400164
3.060000 11.480677 11.967250 12.101100 12.076524 12.210924 12.436829
3.080000 11.526163 12.002425 12.138354 12.112518 12.247484 12.469255
3.100000 11.559099 12.040390 12.170143 12.147934 12.284223 12.506539
3.120000 11.605803 12.073687 12.202599 12.182999 12.314099 12.539173
3.140000 11.669535 12.108136 12.234330 12.217346 12.347494 12.566699
3.160000 11.703751 12.146281 12.269635 12.253168 12.381686 12.602245
3.180000 11.762993 12.179887 12.304504 12.287454 12.416165 12.632198
3.200000 11.807612 12.218458 12.336745 12.322523 12.445713 12.658531
3.220000 11.866080 12.253507 12.368315 12.357793 12.482135 12.692924
3.240000 11.910832 12.290784 12.403436 12.393284 12.516833 12.724403
