depth(m) lower_95(kyr) lower_68(kyr) median(kyr) mean(kyr) upper_68(kyr) upper_95(kyr)
3.755000 24.034934 24.334220 24.596393 24.591055 24.842666 25.095298
3.780000 24.198158 24.477958 24.729128 24.724924 24.988131 25.208732
3.805000 24.339690 24.625181 24.855993 24.851234 25.097615 25.309952
3.830000 24.480385 24.757538 24.977972 24.981030 25.220154 25.419254
3.855000 24.682641 24.881110 25.115588 25.112559 25.335503 25.529135
3.880000 24.842052 25.029920 25.245429 25.239094 25.456111 25.618775
3.905000 24.923625 25.135357 25.359050 25.353549 25.570728 25.768057
3.930000 25.015449 25.238744 25.460147 25.464534 25.687611 25.911167
3.955000 25.104679 25.335902 25.577623 25.575246 25.812694 26.046068
3.980000 25.218676 25.445342 25.689566 25.690074 25.936608 26.175580
4.005000 25.326542 25.562679 25.804951 25.810363 26.075695 26.322772
4.130000 25.727864 26.058837 26.432009 26.426819 26.770114 27.152626
4.180000 25.932085 26.297131 26.678115 26.693336 27.106222 27.490800
4.230000 26.150097 26.531641 26.965505 26.976817 27.426143 27.840192
4.280000 26.334544 26.763131 27.251680 27.262679 27.763698 28.188920
4.330000 26.552531 27.012602 27.528693 27.530262 28.044667 28.541137
4.355000 26.652895 27.136196 27.662293 27.654185 28.176029 28.701313
4.380000 26.807246 27.259391 27.788955 27.782403 28.300860 28.824072
4.405000 26.978202 27.405469 27.915378 27.913320 28.441934 28.943041
4.430000 27.099912 27.540057 28.041241 28.042475 28.569995 29.090437
4.455000 27.219449 27.656274 28.183050 28.173907 28.689633 29.209087
4.480000 27.379200 27.814150 28.309164 28.303009 28.803960 29.284332
4.505000 27.535781 27.934525 28.427950 28.429074 28.923580 29.418798
4.530000 27.675628 28.055804 28.573192 28.563728 29.036107 29.503242
4.555000 27.824183 28.217556 28.711541 28.696492 29.166744 29.594012
4.580000 27.955530 28.363211 28.840923 28.827769 29.282199 29.704783
4.605000 28.056789 28.484553 28.969567 28.956450 29.415467 29.816692
4.630000 28.219390 28.637418 29.106203 29.090808 29.543223 29.919870
4.655000 28.353564 28.786545 29.246120 29.224230 29.668145 30.000070
4.680000 28.510767 28.932083 29.375349 29.352234 29.771709 30.134688
4.705000 28.681961 29.089605 29.498093 29.483255 29.877854 30.227524
4.730000 28.883880 29.256521 29.625403 29.617422 29.977662 30.352402
4.755000 29.050167 29.413606 29.739636 29.742788 30.076648 30.454019
4.780000 29.224326 29.555344 29.855429 29.871063 30.195321 30.556211
4.805000 29.426555 29.706703 29.983475 30.004829 30.330185 30.680955
4.830000 29.562386 29.839667 30.107440 30.133809 30.441630 30.812495
4.855000 29.675653 29.953437 30.234673 30.258869 30.592176 30.942886
4.880000 29.777502 30.059008 30.357358 30.381972 30.738925 31.093181
4.905000 29.874406 30.148320 30.485198 30.510765 30.915522 31.307779
