age(kyr) mean(permil) sigma(permil)
28.100000 4.662931 0.105467
28.200000 4.658261 0.104975
28.300000 4.652529 0.104548
28.400000 4.644874 0.103613
28.500000 4.637562 0.103008
28.600000 4.631026 0.102654
28.700000 4.625164 0.102551
28.800000 4.620538 0.102348
28.900000 4.616958 0.102277
29.000000 4.614103 0.102223
29.100000 4.612722 0.102076
29.200000 4.612481 0.101972
29.300000 4.613947 0.101830
29.400000 4.618690 0.101822
29.500000 4.625688 0.101746
29.600000 4.634434 0.101572
29.700000 4.643228 0.101244
29.800000 4.652216 0.101420
29.900000 4.659534 0.101671
30.000000 4.665178 0.101706
30.100000 4.670174 0.101382
30.200000 4.673153 0.100792
30.300000 4.673521 0.100214
30.400000 4.672369 0.099509
30.500000 4.670097 0.098853
30.600000 4.668827 0.098198
30.700000 4.667245 0.097781
30.800000 4.664308 0.097814
30.900000 4.660974 0.098226
31.000000 4.657868 0.098546
31.100000 4.653375 0.099593
31.200000 4.648655 0.101123
31.300000 4.644654 0.102816
31.400000 4.641658 0.104022
31.500000 4.639357 0.104608
31.600000 4.636162 0.105103
31.700000 4.634325 0.105061
31.800000 4.633011 0.105083
31.900000 4.631082 0.105193
32.000000 4.627240 0.105577
32.100000 4.622590 0.105769
32.200000 4.618187 0.105445
32.300000 4.614321 0.104944
32.400000 4.610657 0.104203
32.500000 4.606940 0.103206
32.600000 4.604092 0.102727
32.700000 4.602180 0.102036
32.800000 4.602537 0.102094
32.900000 4.603990 0.102193
33.000000 4.606709 0.102588
33.100000 4.610075 0.103191
33.200000 4.612255 0.103295
33.300000 4.611622 0.104853
33.400000 4.607606 0.105493
33.500000 4.601592 0.106825
33.600000 4.595852 0.107091
33.700000 4.588987 0.107906
33.800000 4.580369 0.108567
33.900000 4.570802 0.108674
34.000000 4.562342 0.108068
34.100000 4.554876 0.107725
34.200000 4.547895 0.106668
34.300000 4.542019 0.104912
34.400000 4.538224 0.103418
34.500000 4.535739 0.102433
34.600000 4.534378 0.101535
34.700000 4.536543 0.101429
34.800000 4.539395 0.100932
34.900000 4.541450 0.102294
35.000000 4.545615 0.103313
35.100000 4.548614 0.104264
35.200000 4.547104 0.103894
35.300000 4.539881 0.103562
35.400000 4.529356 0.102828
35.500000 4.514803 0.102615
35.600000 4.501665 0.102152
35.700000 4.491499 0.102443
35.800000 4.483908 0.103322
35.900000 4.476379 0.104418
36.000000 4.468613 0.105688
36.100000 4.461111 0.106304
36.200000 4.454187 0.106687
36.300000 4.445782 0.106941
36.400000 4.434533 0.106921
36.500000 4.420871 0.106647
36.600000 4.407900 0.106217
36.700000 4.395961 0.105855
