depth	d18O
0.445	2.9
0.455	3.22
0.455	3.32
0.455	3.18
0.465	4.33
0.465	3.15
0.465	2.99
0.475	3.38
0.475	3.08
0.475	3.21
0.485	2.94
0.485	3.16
0.485	3.22
0.495	3.16
0.495	3.13
0.495	2.88
0.505	3.3
0.505	3.1
0.505	3.24
0.515	3.1
0.515	2.98
0.515	3
0.525	2.9
0.525	3.15
0.525	3.26
0.535	3.3
0.535	3.2
0.535	3.8
0.545	3.31
0.545	2.83
0.545	3.05
0.555	3.26
0.555	3
0.555	3.18
0.565	3.23
0.565	3.06
0.565	3.09
0.575	3.21
0.575	3.72
0.575	3.04
0.585	3.65
0.585	2.98
0.585	3.27
0.595	3.06
0.595	3.4
0.595	2.94
0.605	3.19
0.605	3.23
0.605	3.28
0.615	3.65
0.615	3.12
0.615	3.85
0.625	3.29
0.625	3.82
0.625	3.85
0.635	3.79
0.635	3.49
0.635	3.38
0.645	3.66
0.645	3.58
0.645	3.76
0.655	3.92
0.655	3.64
0.655	3.67
0.665	3.74
0.665	3.58
0.675	3.9
0.675	3.63
0.675	3.52
0.685	3.57
0.685	4.17
0.685	4.26
0.685	3.72
0.695	3.5
0.695	4.3
0.695	3.52
0.705	4.03
0.705	3.65
0.705	4.06
0.715	3.85
0.715	4.19
0.715	4.27
0.725	3.9
0.725	4.22
0.725	4.4
0.735	3.99
0.735	4.18
0.735	3.97
0.745	3.92
0.745	4.01
0.745	4.03
0.755	4.17
0.755	4.1
0.755	4.29
0.765	2.87
0.765	4.17
0.765	4.27
0.775	4.14
0.775	4.28
0.775	4.45
0.785	4.27
0.785	3.56
0.785	4.45
0.795	3.56
0.795	3.71
0.795	3.64
0.805	3.7
0.805	3.65
0.805	3.63
0.815	3.56
0.815	3.83
0.815	3.58
0.825	3.44
0.825	3.48
0.825	3.45
0.835	3.53
0.835	3.48
0.835	3.49
0.835	4.22
0.835	4.12
0.845	3.55
0.845	3.52
0.845	3.51
0.855	4.58
0.865	4.54
0.865	4.71
0.875	4.59
0.885	4.57
0.885	4.5
0.885	4.55
0.895	4.25
0.895	4.08
0.895	4.56
0.895	4.52
0.895	4.43
0.905	4.6
0.905	4.51
0.905	4.52
0.915	4.49
0.915	4.53
0.915	4.52
0.925	3.76
0.925	4.58
0.925	4.59
0.935	3.65
0.935	4.66
0.935	4.64
0.935	4.4
0.935	4.42
0.935	4.49
0.945	3.69
0.945	3.4
0.945	3.54
0.955	3.61
0.955	3.89
0.955	4.45
0.965	3.35
0.965	4.23
0.975	4.59
0.975	4.55
0.975	4.55
0.985	4.35
0.985	4.65
0.985	4.51
0.995	4.58
1.005	3
1.005	4.52
1.005	4.47
1.005	4.57
1.005	4.66
1.025	4.46
1.025	4.51
1.045	4.62
1.045	4.57
1.055	4.63
1.065	4.5
1.065	4.57
1.065	4.53
1.085	4.65
1.085	4.51
1.105	4.5
1.105	4.56
1.105	4.43
1.115	4.61
1.115	4.46
1.125	4.54
1.125	4.54
1.125	4.47
1.135	4.55
1.135	4.46
1.135	4.55
1.145	4.21
1.145	4.37
1.145	4.51
1.155	4.17
1.155	4.23
1.165	2.92
1.165	4.46
1.165	4.46
1.175	4.22
1.175	4.4
1.175	4.55
1.185	4.35
1.185	2.81
1.185	2.87
1.195	3.11
1.195	4.12
1.195	4.4
1.205	4.17
1.205	4.2
1.205	4.06
1.225	3.97
1.225	4.17
1.225	4.33
1.245	4.47
1.245	4.39
1.245	4.63
1.265	4.44
1.265	4.62
1.265	4.58
1.285	4.18
1.285	4.2
1.285	4.1
1.305	4.12
1.305	4.23
1.305	4.19
1.325	4.35
1.325	4.08
1.325	4.13
1.345	4.11
1.345	4.34
1.345	4.52
1.365	4.46
1.365	4.38
1.365	4.4
1.385	4.11
1.385	4.14
1.385	4.13
1.405	4.27
1.405	4.25
1.405	4.34
1.425	4.28
1.425	4.32
1.425	4.36
1.445	4.35
1.445	4.35
1.445	4.47
1.465	2.84
1.465	4.28
1.465	4.33
1.485	4.26
1.485	4.26
1.485	4.38
1.505	4.28
1.505	4.33
1.505	3.77
